Sample,Rawname,Condition,FW_mg,Rep,Species,Treatment,2-hydroxypyridine ,Pyruvic acid ,L-alanine,acetohydroxamic acid ,oxalic acid ,3-hydroxypyridine ,heptanoic acid ,L-mimosine,L-valine,benzoic acid ,ethanolamine ,L-leucine,glycerol ,phosphoric acid ,nicotinic acid ,L-Isoleucine,L-proline,maleic acid ,glycine ,succinic acid ,glyceric acid ,glyoxylic acid ,itaconic acid ,fumaric acid ,pelargonic acid (nonanoic acid) ,L-serine,beta-cyano-L-alanine ,L-threonine,benzoquinone ,Beta- alanine,capric acid ,L-homoserine,D-malic acid ,"5,6-dihydrouracil",aspartic acid,gamma-aminobutyric acid (GABA),threonic acid ,alpha ketoglutaric acid ,L-glutamine,Antiarol ,"benzene-1,2,4-triol ",L-glutamic acid,4-hydroxybenzoic acid ,lauric acid ,"1,3-diaminopropane",xylose,L-asparagine,ribose ,"1,6-anhydro-glucose ",trans-aconitic acid ,4-hydroxy-3-methoxybenzoic acid ,glycerol 1-phosphate ,shikimic acid ,"3,4-dihydroxybenzoic acid ",citric acid ,myristic acid ,dehydroascorbic acid,adenine,quinic acid ,fructose,D-glucose,L-lysine,allantoin,4-hydroxycinnamic acid ,D-mannose,tyrosine,D-mannitol ,sedoheptulose anhydride monohydrate ,pantothenic acid,palmitic acid ,D-saccharic acid ,"3,4 dihydroxyphenylalanine (DOPA)",ferulic acid ,myo-inositol ,caffeic acid ,elaidic acid ,stearic acid ,L-tryptophan,"3,5-dimethoxy-4-hydroxycinnamic acid",spermidine,D-glucose-6-phosphate,arachidic acid ,serotonin,arbutin ,eicosapentaenoic acid ,adenosine ,Sucrose ,lactose,maltose,Trehalose ,beta-gentiobiose,galactinol
Pas_Ndep1,181221_063.D,Pas_Ndep,59.2,1,Paspalum vaginatum,N_dep,0.214160986,0.013892265,0.02633404,0.70582968,0.026317065,0.042570177,0.01364897,0.001237322,0.201749679,0.099736466,0.848107495,0.093116993,0.99241319,3.342024167,0.027270534,0.092745683,0.164522465,0.028857788,0.847781344,0.028712527,0.021076416,0.193025228,0.00131935,0.149473586,0.095693989,0.434157295,0.047897915,0.233488501,0.009599591,0.019819939,0.02039529,0.072883903,1.070224816,0.15406019,1.05018283,0.163589335,0.027936767,0.063394537,0.028746052,0.003393455,0.026314682,1.081692676,0.06740247,0.034605573,0.006967679,0.09177305,0.068715386,1.810846549,0.511648455,0.006189125,0.007436539,0.042078684,0.291786624,0.01397685,1.244433255,0.296890585,0.013154487,0.051862603,1.041210685,2.799867485,1.658121507,0.141326385,0.004767188,0.081798597,1.656961208,2.018539547,1.656501252,1.104574955,0.020292787,1.260163121,0.019040058,0.936536571,0.023774653,0.331309317,1.459358732,0.006854505,0.006455292,0.173789773,0.00903189,0.094869467,0.125988723,0.052344191,0.001657567,0.567690561,0.567869298,0.012187071,3.556333677,0.567887329,1.845351147,1.162511689,0.371499704,0.373540698
Pas_Ndep2,181221_064.D,Pas_Ndep,54.2,2,Paspalum vaginatum,N_dep,0.198831615,0.013710254,0.026609042,1.200932862,0.026503868,0.039727827,0.026211836,0.001887876,0.223058031,0.091764074,0.921457234,0.147091252,0.668746373,3.793148441,0.021358533,0.14684967,0.228394314,0.024944424,0.922698157,0.024987422,0.019010898,0.179348704,0.000843431,0.121218725,0.114870186,0.768592232,0.05870895,0.440822509,0.008909299,0.019952408,0.019869161,0.062372459,1.037477541,0.157897738,1.028611578,0.17299249,0.028016024,0.058191247,0.029564951,0.002881223,0.021718563,1.068616973,0.044399928,0.029291572,0.00481896,0.079383729,0.057925446,1.921177946,0.481618568,0.006561488,0.007548042,0.052480815,0.270067056,0.013502261,1.26469461,0.268582071,0.013894658,0.053660318,1.039316144,3.501095473,1.679307926,0.148320135,0.005065623,0.083627377,1.679704859,2.124551181,1.675162041,1.105549814,0.02090054,1.316152787,0.019862714,1.068743138,0.020634763,0.313169632,1.592630047,0.007553171,0.004904902,0.156277986,0.008876294,0.098640241,0.129445094,0.048225081,0.001366648,2.765771265,0.754430554,0.014327517,3.656793655,2.631672962,1.843120012,0.555091189,0.555918038,0.368477875
Pas_Ndep3,181221_065.D,Pas_Ndep,57.9,3,Paspalum vaginatum,N_dep,0.204191829,0.014885209,0.0273751,1.232597164,0.027348241,0.039542132,0.026269178,0.002441582,0.229937253,0.088402484,0.788706379,0.149390841,0.617896679,3.744061044,0.023034648,0.149726333,0.237247807,0.023182153,0.78899191,0.023229291,0.019688434,0.153078755,0.001073438,0.102735468,0.08083425,0.849693514,0.086565652,0.4827111,0.008691644,0.022243234,0.02345025,0.068401601,1.076517996,0.162860666,1.102382863,0.162028079,0.027544928,0.062083333,0.027091435,0.003211324,0.020781414,1.151059375,0.039391253,0.032652611,0.006386991,0.075478274,0.089108628,1.954488542,0.478785343,0.007045938,0.016819436,0.05534654,0.278712632,0.019118772,1.288662447,0.276494228,0.014451378,0.05513434,1.067718048,3.658099011,1.743116575,0.151313873,0.00759319,0.083546455,1.744412024,2.165653852,1.744149814,1.136929653,0.020314389,1.369167088,0.019051479,1.20076088,0.020065372,0.318890233,1.7369142,0.008716985,0.00429146,0.20874422,0.009008378,0.099259847,0.170627024,0.042522721,0.001266986,2.98492834,2.32105736,0.013682271,3.769518203,1.733579158,1.935713393,0.379503587,0.379654612,0.411476355
Pas_Ndep4,181221_066.D,Pas_Ndep,58.2,4,Paspalum vaginatum,N_dep,0.205379166,0.014413589,0.028818494,1.143425252,0.028745452,0.03830848,0.022248657,0.001979581,0.219476718,0.091823996,0.911513972,0.14085612,0.621574277,3.7951997,0.018853112,0.140710381,0.230310309,0.023977145,0.911558524,0.023969477,0.021136067,0.184698197,0.000736627,0.105429569,0.082958118,0.797537709,0.06328912,0.443858737,0.009160133,0.020797542,0.018239824,0.074120448,1.111050827,0.152723455,1.097639471,0.149529459,0.030748242,0.06621101,0.024935283,0.002601655,0.018662163,1.169051775,0.038259722,0.027586842,0.00646116,0.077478729,0.072392828,1.919692254,0.481979165,0.006459388,0.046008727,0.055820028,0.283123212,0.016406201,1.35291649,0.312214586,0.015116765,0.058808372,1.102680707,3.05466457,1.760417308,0.151324325,0.005575942,0.081110805,1.760079711,2.22585679,1.759796315,1.155853543,0.022271614,1.295065117,0.016342619,1.186586973,0.024797291,0.34155129,1.930779649,0.010479296,0.003987052,0.17525858,0.008855224,0.096490775,0.190655804,0.040277211,0.001378912,2.821536963,3.040001754,0.01537069,3.793747591,2.237740162,1.983836438,0.980963338,0.426535442,0.407540014
Pas_Ndep5,181221_067.D,Pas_Ndep,48.2,5,Paspalum vaginatum,N_dep,0.180256973,0.014520828,0.026484556,1.2313994,0.026530066,0.034538222,0.026989257,0.001065872,0.221969374,0.087307519,0.525943151,0.141049444,0.623655644,2.480061341,0.018645586,0.14118389,0.269313298,0.021735365,0.526587808,0.021791521,0.017394989,0.1837694,0.000943064,0.094208728,0.106766755,0.759090591,0.060067042,0.415382305,0.006465345,0.018958921,0.018329354,0.062376416,1.032990071,0.155763986,1.032259369,0.14349794,0.026169054,0.056498156,0.024540746,0.002666197,0.018869418,1.070392332,0.036214469,0.030463668,0.004009871,0.072129665,0.066884301,1.993027531,0.482669141,0.006666985,0.004970542,0.053247515,0.259197932,0.019115218,1.27959074,0.27913353,0.014985261,0.052775341,0.985082887,3.643919278,1.723110054,0.147404939,0.006153251,0.074134906,1.722606762,2.184250727,1.722292008,1.11492828,0.02063135,1.336107736,0.016987352,1.251879278,0.01981612,0.285627865,1.732791365,0.007961501,0.00358655,0.165695628,0.00886674,0.101073504,0.176257029,0.035763137,0.001148736,2.484158438,2.430075477,0.012949464,3.633722673,2.430094844,1.850336205,0.487730958,0.494248736,0.357725832
Pas_Pdep1,181221_068.D,Pas_Pdep,50,1,Paspalum vaginatum,P_dep,0.243641312,0.013822456,0.019762011,0.840788759,0.019736492,0.043243081,0.016492616,0.001434855,0.119044973,0.069277486,0.328052574,0.029865525,0.59645904,1.862353187,0.021076365,0.029585393,0.010205893,0.006432264,0.324098518,0.006454143,0.018203646,0.201365344,0.00126062,0.187047457,0.105052211,0.156574864,0.024938621,0.083486237,0.005313128,0.024557197,0.019283719,0.106171639,1.337326928,0.130394551,1.492539139,0.24004906,0.038765394,0.05183404,0.021944644,0.003538291,0.018743051,1.301535082,0.033422948,0.031364472,0.019408317,0.095815323,0.08097121,1.876716117,0.480366345,0.006485352,0.006211561,0.020740268,0.184067722,0.011467233,1.549038723,0.439024999,0.02379535,0.040851614,0.647863828,3.110495061,1.464747195,0.107139941,0.032863305,0.092319615,1.4645605,1.83206089,1.464533109,0.888794916,0.015396121,1.308054031,0.021163904,1.176427162,0.019421589,0.369573477,1.729022103,0.00829412,0.004490187,0.071792622,0.007621551,0.100984543,0.059259293,0.036176437,0.000997341,3.079360838,3.319208091,0.016255702,4.044788623,2.520479177,2.194915057,1.501644656,0.233843076,0.442548729
Pas_Pdep2,181221_069.D,Pas_Pdep,58.8,2,Paspalum vaginatum,P_dep,0.286818871,0.014082702,0.023039969,0.34377365,0.022905362,0.046703105,0.007812917,0.001457336,0.277190547,0.066108996,0.954490162,0.1584915,0.519979516,1.936318569,0.022618884,0.158488712,0.258048918,0.006562049,0.955427523,0.006269733,0.019422525,0.194480329,0.001496853,0.198203463,0.085515215,1.077902414,0.099367374,0.688335602,0.006044627,0.030968248,0.017870456,0.117364306,1.45922921,0.175383227,1.663206114,0.272650956,0.043072895,0.059183036,0.047674532,0.003253803,0.020723221,1.442568027,0.034297815,0.027249695,0.023146612,0.11951257,0.095308168,1.902792709,0.489241994,0.006660532,0.00454399,0.018311516,0.213468476,0.013899619,1.697196138,0.512872051,0.023852772,0.043486618,0.790178577,3.378686097,1.494555176,0.111867475,0.044480658,0.108570269,1.494075107,1.937548163,1.493870451,0.877255698,0.015928546,1.317653132,0.024043499,1.326700553,0.022319876,0.420933573,1.88922686,0.010516695,0.004871886,0.084362068,0.008427524,0.103128729,0.067796372,0.038152028,0.001012174,0.608145616,3.032658055,0.017406539,4.294218215,0.823456527,2.364348384,1.774127731,0.346513653,0.503804417
Pas_Pdep3,181221_070.D,Pas_Pdep,54.4,3,Paspalum vaginatum,P_dep,0.264834648,0.013536301,0.018110163,0.445242447,0.018166551,0.040695417,0.008747274,0.001112577,0.118700965,0.069639756,0.187786643,0.027873944,0.520447108,1.837249577,0.021328693,0.027777317,0.009496517,0.006331806,0.188102475,0.006360793,0.018599005,0.19152587,0.001739389,0.20850547,0.091726346,0.113032387,0.02219151,0.060282282,0.004944224,0.025731935,0.019895769,0.126715976,1.375642157,0.127273138,1.527985782,0.264891309,0.041585167,0.0576009,0.022555269,0.003499706,0.019463277,1.316055392,0.032365572,0.026307914,0.022411906,0.102340355,0.097860128,1.817926248,0.488906242,0.006210882,0.00476309,0.018803766,0.216592137,0.014311959,1.589056491,0.50855933,0.023263881,0.04550725,0.764973847,3.182633467,1.568735359,0.114105597,0.033251138,0.103221592,1.57026986,1.882303423,1.570523592,0.989835501,0.017748662,1.253515083,0.024180543,1.228733569,0.02071685,0.379536885,1.7782232,0.009225744,0.005340129,0.076971517,0.008602569,0.098875547,0.069904002,0.033782249,0.001087387,4.844465959,2.620094097,0.015906467,4.026174698,2.154951586,2.215592038,1.302456004,0.285417486,0.455620546
Pas_Pdep4,181221_071.D,Pas_Pdep,54.4,4,Paspalum vaginatum,P_dep,0.268772038,0.013161466,0.021257605,0.437490592,0.021248949,0.043580678,0.009066291,0.001587414,0.258258377,0.075455321,0.636323994,0.141676971,0.495114752,1.83662678,0.016734044,0.141551238,0.293533663,0.00575301,0.636898071,0.006228333,0.016553722,0.182267778,0.001467115,0.185198236,0.104792558,1.072105593,0.084432374,0.63919858,0.005113499,0.030256562,0.02062442,0.110604623,1.45888623,0.163198516,1.660072378,0.277016039,0.040035495,0.051060567,0.040378462,0.00360913,0.019255694,1.375508524,0.028062013,0.027755513,0.020248057,0.113667454,0.073680271,1.99759174,0.480063847,0.006411527,0.007397458,0.016900135,0.191751355,0.013384366,1.62059083,0.502707036,0.022865518,0.046531311,0.710256952,3.270566837,1.365997716,0.092307995,0.037021955,0.101908573,1.366578515,1.801485457,1.366111661,0.77103229,0.013580342,1.286414593,0.023738793,1.186107052,0.019067144,0.365476052,1.686994054,0.008505338,0.005247319,0.081796592,0.008575785,0.098119135,0.067488174,0.035949125,0.000960216,3.088882251,3.245959878,0.016204816,4.104512262,2.698898312,2.225149418,1.4709255,0.248787584,0.442694217
Pas_Pdep5,181221_072.D,Pas_Pdep,49.8,5,Paspalum vaginatum,P_dep,0.263698646,0.015848319,0.022477728,0.781228973,0.02239444,0.046111274,0.015708562,0.001640361,0.231340906,0.096431733,0.559100042,0.213334971,0.983656541,1.898405556,0.014664552,0.213033136,0.125658713,0.010183239,0.555189217,0.010245842,0.018541694,0.159521571,0.00107659,0.128903117,0.104635644,0.758270468,0.039920406,0.413161303,0.012678457,0.019172159,0.021843846,0.068021942,1.148217118,0.164050623,1.959401401,0.184518281,0.043118944,0.032403943,0.020606806,0.002770241,0.020420439,1.251728283,0.117297504,0.029312338,0.008333607,0.074099876,0.039319671,2.255560586,0.467914985,0.00843027,0.002956877,0.013511184,0.149395633,0.021418941,1.405739944,0.276077991,0.023736413,0.042501301,0.462903271,2.869835082,0.783132509,0.047336787,0.046967774,0.104570083,0.783444072,1.372284767,0.783202938,0.305948878,0.007765125,1.46558497,0.024588018,1.347094884,0.022854053,0.301504705,1.928121097,0.010254784,0.005768973,0.147877966,0.008339735,0.105808299,0.037395972,0.043049461,0.002329901,4.006272458,4.006345321,0.010333567,2.930594642,2.121044336,1.224456221,0.143853505,0.143836321,0.24688364
